Clinic,Provider,MeasureName,MeasureDate,LowerIsBetter,Numerator,Denominator,MeasureValue,Benchmark
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-01-12,0,2289,2500,0.9156,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-01-19,0,2315,2472,0.9365,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-01-26,0,2327,2470,0.9421,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-02-02,0,2371,2496,0.9499,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-02-09,0,2489,2546,0.9776,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-02-16,0,2500,2509,0.9964,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-02-23,0,2505,2505,1.0,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-03-02,0,2474,2500,0.9896,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-03-09,0,2520,2521,0.9996,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-03-16,0,2520,2520,1.0,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-03-23,0,2460,2488,0.9887,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-03-30,0,2515,2515,1.0,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-04-06,0,2478,2518,0.9841,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-04-13,0,2425,2498,0.9708,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-04-20,0,2395,2496,0.9595,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-04-27,0,2505,2546,0.9839,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-05-04,0,2479,2479,1.0,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-05-11,0,2495,2515,0.992,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-05-18,0,2528,2528,1.0,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-05-25,0,2532,2532,1.0,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-06-01,0,2552,2552,1.0,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-06-08,0,2508,2552,0.9828,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-06-15,0,2447,2487,0.9839,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-06-22,0,2541,2541,1.0,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-06-29,0,2526,2526,1.0,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-07-06,0,2473,2519,0.9817,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-07-13,0,2518,2518,1.0,0.95
North Clinic,Dr. Sarah Johnson,Patient Panel,2025-07-20,0,2442,2477,0.9859,0.95
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-07-28,0,618,902,0.6851,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-08-04,0,615,877,0.7013,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-08-11,0,621,885,0.7017,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-08-18,0,621,876,0.7089,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-08-25,0,612,873,0.701,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-09-01,0,634,898,0.706,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-09-08,0,653,902,0.7239,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-09-15,0,659,900,0.7322,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-09-22,0,639,878,0.7278,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-09-29,0,669,894,0.7483,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-10-06,0,660,901,0.7325,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-10-13,0,646,870,0.7425,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-10-20,0,682,884,0.7715,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-10-27,0,684,885,0.7729,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-11-03,0,675,876,0.7705,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-11-10,0,684,899,0.7608,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-11-17,0,675,898,0.7517,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-11-24,0,643,874,0.7357,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-12-01,0,670,882,0.7596,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-12-08,0,679,873,0.7778,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-12-15,0,695,899,0.7731,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-12-22,0,681,889,0.766,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2024-12-29,0,693,894,0.7752,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-01-05,0,664,879,0.7554,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-01-12,0,653,874,0.7471,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-01-19,0,661,896,0.7377,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-01-26,0,666,894,0.745,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-02-02,0,683,896,0.7623,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-02-09,0,651,869,0.7491,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-02-16,0,691,901,0.7669,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-02-23,0,693,901,0.7691,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-03-02,0,696,893,0.7794,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-03-09,0,675,880,0.767,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-03-16,0,700,882,0.7937,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-03-23,0,731,896,0.8158,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-03-30,0,747,887,0.8422,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-04-06,0,723,877,0.8244,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-04-13,0,739,901,0.8202,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-04-20,0,729,872,0.836,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-04-27,0,736,900,0.8178,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-05-04,0,727,883,0.8233,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-05-11,0,710,875,0.8114,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-05-18,0,711,878,0.8098,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-05-25,0,741,888,0.8345,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-06-01,0,714,872,0.8188,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-06-08,0,724,876,0.8265,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-06-15,0,732,897,0.8161,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-06-22,0,729,897,0.8127,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-06-29,0,709,886,0.8002,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-07-06,0,704,903,0.7796,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-07-13,0,705,873,0.8076,0.72
North Clinic,Dr. Sarah Johnson,Hypertension Control,2025-07-20,0,744,902,0.8248,0.72
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-07-28,1,6,45,0.1333,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-08-04,1,5,45,0.1111,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-08-11,1,6,45,0.1333,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-08-18,1,6,44,0.1364,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-08-25,1,5,44,0.1136,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-09-01,1,5,44,0.1136,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-09-08,1,6,44,0.1364,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-09-15,1,6,45,0.1333,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-09-22,1,7,45,0.1556,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-09-29,1,6,44,0.1364,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-10-06,1,6,44,0.1364,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-10-13,1,6,44,0.1364,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-10-20,1,6,45,0.1333,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-10-27,1,6,44,0.1364,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-11-03,1,6,44,0.1364,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-11-10,1,6,44,0.1364,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-11-17,1,6,45,0.1333,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-11-24,1,5,44,0.1136,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-12-01,1,4,45,0.0889,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-12-08,1,5,45,0.1111,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-12-15,1,5,45,0.1111,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-12-22,1,5,44,0.1136,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2024-12-29,1,5,45,0.1111,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-01-05,1,3,44,0.0682,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-01-12,1,4,45,0.0889,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-01-19,1,3,44,0.0682,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-01-26,1,3,44,0.0682,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-02-02,1,2,44,0.0455,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-02-09,1,2,44,0.0455,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-02-16,1,1,45,0.0222,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-02-23,1,2,45,0.0444,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-03-02,1,1,44,0.0227,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-03-09,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-03-16,1,1,44,0.0227,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-03-23,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-03-30,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-04-06,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-04-13,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-04-20,1,0,44,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-04-27,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-05-04,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-05-11,1,0,44,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-05-18,1,0,44,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-05-25,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-06-01,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-06-08,1,0,44,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-06-15,1,0,44,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-06-22,1,0,44,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-06-29,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-07-06,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-07-13,1,0,44,0.0,0.12
North Clinic,Dr. Sarah Johnson,Senior Readmissions,2025-07-20,1,0,45,0.0,0.12
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-07-28,0,247,444,0.5563,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-08-04,0,248,443,0.5598,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-08-11,0,255,436,0.5849,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-08-18,0,250,440,0.5682,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-08-25,0,263,441,0.5964,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-09-01,0,257,435,0.5908,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-09-08,0,261,431,0.6056,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-09-15,0,278,440,0.6318,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-09-22,0,280,444,0.6306,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-09-29,0,274,441,0.6213,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-10-06,0,277,443,0.6253,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-10-13,0,267,428,0.6238,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-10-20,0,281,437,0.643,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-10-27,0,286,432,0.662,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-11-03,0,285,432,0.6597,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-11-10,0,292,432,0.6759,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-11-17,0,289,440,0.6568,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-11-24,0,284,433,0.6559,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-12-01,0,293,428,0.6846,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-12-08,0,290,435,0.6667,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-12-15,0,304,437,0.6957,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-12-22,0,316,436,0.7248,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2024-12-29,0,325,433,0.7506,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-01-05,0,330,445,0.7416,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-01-12,0,320,431,0.7425,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-01-19,0,331,436,0.7592,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-01-26,0,339,430,0.7884,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-02-02,0,347,429,0.8089,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-02-09,0,367,440,0.8341,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-02-16,0,360,434,0.8295,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-02-23,0,353,434,0.8134,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-03-02,0,358,443,0.8081,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-03-09,0,369,444,0.8311,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-03-16,0,378,440,0.8591,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-03-23,0,383,440,0.8705,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-03-30,0,388,445,0.8719,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-04-06,0,390,444,0.8784,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-04-13,0,385,444,0.8671,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-04-20,0,383,436,0.8784,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-04-27,0,394,444,0.8874,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-05-04,0,385,432,0.8912,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-05-11,0,396,439,0.9021,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-05-18,0,399,445,0.8966,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-05-25,0,383,429,0.8928,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-06-01,0,390,428,0.9112,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-06-08,0,387,430,0.9,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-06-15,0,379,428,0.8855,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-06-22,0,396,438,0.9041,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-06-29,0,402,439,0.9157,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-07-06,0,394,433,0.9099,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-07-13,0,390,435,0.8966,0.5
North Clinic,Dr. Sarah Johnson,Diabetes Control,2025-07-20,0,383,436,0.8784,0.5
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-07-28,0,304,405,0.7506,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-08-04,0,302,395,0.7646,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-08-11,0,304,406,0.7488,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-08-18,0,312,408,0.7647,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-08-25,0,299,398,0.7513,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-09-01,0,313,408,0.7672,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-09-08,0,305,402,0.7587,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-09-15,0,298,398,0.7487,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-09-22,0,306,403,0.7593,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-09-29,0,300,405,0.7407,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-10-06,0,302,398,0.7588,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-10-13,0,312,401,0.7781,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-10-20,0,300,394,0.7614,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-10-27,0,311,396,0.7854,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-11-03,0,317,396,0.8005,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-11-10,0,319,402,0.7935,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-11-17,0,333,408,0.8162,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-11-24,0,322,400,0.805,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-12-01,0,331,405,0.8173,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-12-08,0,345,407,0.8477,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-12-15,0,340,407,0.8354,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-12-22,0,337,402,0.8383,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2024-12-29,0,342,406,0.8424,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-01-05,0,346,405,0.8543,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-01-12,0,349,405,0.8617,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-01-19,0,341,402,0.8483,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-01-26,0,335,402,0.8333,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-02-02,0,337,395,0.8532,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-02-09,0,348,407,0.855,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-02-16,0,354,403,0.8784,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-02-23,0,354,399,0.8872,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-03-02,0,348,401,0.8678,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-03-09,0,360,403,0.8933,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-03-16,0,360,407,0.8845,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-03-23,0,340,393,0.8651,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-03-30,0,357,406,0.8793,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-04-06,0,353,406,0.8695,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-04-13,0,349,395,0.8835,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-04-20,0,352,397,0.8866,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-04-27,0,355,397,0.8942,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-05-04,0,369,401,0.9202,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-05-11,0,360,400,0.9,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-05-18,0,366,399,0.9173,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-05-25,0,367,396,0.9268,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-06-01,0,365,400,0.9125,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-06-08,0,363,395,0.919,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-06-15,0,378,404,0.9356,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-06-22,0,375,394,0.9518,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-06-29,0,379,397,0.9547,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-07-06,0,383,393,0.9746,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-07-13,0,395,403,0.9801,0.82
North Clinic,Dr. Sarah Johnson,Breast Cancer Screening,2025-07-20,0,395,400,0.9875,0.82
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-07-28,0,964,1087,0.8868,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-08-04,0,1020,1116,0.914,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-08-11,0,977,1076,0.908,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-08-18,0,985,1076,0.9154,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-08-25,0,1015,1087,0.9338,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-09-01,0,1030,1083,0.9511,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-09-08,0,1077,1103,0.9764,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-09-15,0,1062,1100,0.9655,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-09-22,0,1096,1113,0.9847,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-09-29,0,1093,1093,1.0,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-10-06,0,1109,1109,1.0,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-10-13,0,1094,1095,0.9991,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-10-20,0,1106,1106,1.0,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-10-27,0,1098,1098,1.0,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-11-03,0,1114,1114,1.0,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-11-10,0,1109,1109,1.0,0.8
North Clinic,Dr. Sarah Johnson,Colon Cancer Screening,2024-11-17,0,1098,1098,1.0,0.8
